that's 1
for 1
thy 1
self 1
to 1
breed 1
another 1
thee 1
or 1
ten 1
times 1
happier 1
be 1
it 1
ten 1
for 1
one 1
ten 1
times 1
thy 1
self 1
were 1
happier 1
than 1
thou 1
art 1
if 1
ten 1
of 1
thine 1
ten 1
times 1
refigured 1
thee 1
then 1
what 1
could 1
death 1
do 1
if 1
thou 1
shouldst 1
depart 1
leaving 1
thee 1
living 1
in 1
posterity 1
be 1
not 1
self-willed 1
for 1
thou 1
art 1
much 1
too 1
fair 1
to 1
be 1
death's 1
conquest 1
and 1
make 1
worms 1
thine 1
heir 1
lo 1
in 1
the 1
orient 1
when 1
the 1
gracious 1
light 1
lifts 1
up 1
his 1
burning 1
head 1
each 1
under 1
eye 1
doth 1
homage 1
to 1
his 1
new-appearing 1
sight 1
serving 1
with 1
looks 1
his 1
sacred 1
majesty 1
and 1
having 1
climbed 1
the 1
steep-up 1
heavenly 1
hill 1
resembling 1
strong 1
youth 1
in 1
his 1
middle 1
age 1
yet 1
mortal 1
looks 1
adore 1
his 1
beauty 1
still 1
attending 1
on 1
his 1
golden 1
pilgrimage 1
but 1
when 1
from 1
highmost 1
pitch 1
with 1
weary 1
car 1
like 1
feeble 1
age 1
he 1
reeleth 1
from 1
the 1
day 1
the 1
eyes 1
'fore 1
duteous 1
now 1
converted 1
are 1
from 1
his 1
low 1
tract 1
and 1
look 1
another 1
way 1
so 1
thou 1
thyself 1
outgoing 1
in 1
thy 1
noon 1
unlooked 1
on 1
diest 1
unless 1
thou 1
get 1
a 1
son 1
music 1
to 1
hear 1
why 1
hear'st 1
thou 1
music 1
sadly 1
sweets 1
with 1
sweets 1
war 1
not 1
joy 1
delights 1
in 1
joy 1
why 1
lov'st 1
thou 1
that 1
which 1
thou 1
receiv'st 1
not 1
gladly 1
or 1
else 1
receiv'st 1
with 1
pleasure 1
thine 1
annoy 1
if 1
the 1
true 1
concord 1
of 1
well-tuned 1
sounds 1
by 1
unions 1
married 1
do 1
offend 1
thine 1
ear 1
they 1
do 1
but 1
sweetly 1
chide 1
thee 1
who 1
confounds 1
in 1
singleness 1
the 1
parts 1
that 1
thou 1
shouldst 1
bear 1
mark 1
how 1
one 1
string 1
sweet 1
husband 1
to 1
another 1
strikes 1
each 1
in 1
each 1
by 1
mutual 1
ordering 1
resembling 1
sire 1
and 1
child 1
and 1
happy 1
mother 1
who 1
all 1
in 1
one 1
one 1
pleasing 1
note 1
do 1
sing 1
whose 1
speechless 1
song 1
being 1
many 1
seeming 1
one 1
sings 1
this 1
to 1
thee 1
'thou 1
single 1
wilt 1
prove 1
none 1
' 1
is 1
it 1
for 1
fear 1
to 1
wet 1
a 1
widow's 1
eye 1
that 1
thou 1
consum'st 1
thy 1
self 1
in 1
single 1
life 1
ah 1
if 1
thou 1
issueless 1
shalt 1
hap 1
to 1
die 1
the 1
world 1
will 1
wail 1
thee 1
like 1
a 1
makeless 1
wife 1
the 1
world 1
will 1
be 1
thy 1
widow 1
and 1
still 1
weep 1
that 1
thou 1
no 1
form 1
of 1
thee 1
hast 1
left 1
behind 1
when 1
every 1
private 1
widow 1
well 1
may 1
keep 1
by 1
children's 1
eyes 1
her 1
husband's 1
shape 1
in 1
mind 1
look 1
what 1
an 1
unthrift 1
in 1
the 1
world 1
doth 1
spend 1
shifts 1
but 1
his 1
place 1
for 1
still 1
the 1
world 1
enjoys 1
it 1
but 1
beauty's 1
waste 1
hath 1
in 1
the 1
world 1
an 1
end 1
and 1
kept 1
unused 1
the 1
user 1
so 1
destroys 1
it 1
no 1
love 1
toward 1
others 1
in 1
that 1
bosom 1
sits 1
that 1
on 1
himself 1
such 1
murd'rous 1
shame 1
commits 1
for 1
shame 1
deny 1
that 1
thou 1
bear'st 1
love 1
to 1
any 1
who 1
for 1
thy 1
self 1
art 1
so 1
unprovident 1
grant 1
if 1
thou 1
wilt 1
thou 1
art 1
beloved 1
of 1
many 1
but 1
that 1
thou 1
none 1
lov'st 1
is 1
most 1
evident 1
for 1
thou 1
art 1
so 1
possessed 1
with 1
murderous 1
hate 1
that 1
'gainst 1
thy 1
self 1
thou 1
stick'st 1
not 1
to 1
